"192.163.252.85:49999","US"
"188.166.104.152:57221","NL"
"162.144.66.22:13670","US"
"195.177.217.131:51519","PL"
"162.144.66.22:7354","US"
"5.42.158.108:1080","FR"
"167.71.41.243:17102","DE"
"195.177.217.131:46226","PL"
"45.115.39.18:15584","HK"
"132.148.156.206:64933","US"
"18.184.15.209:9050","GB"
"128.199.111.243:62829","SG"
"146.185.138.153:55200","NL"
"186.126.149.135:1080","AR"
"165.227.119.98:1246","US"
"198.199.109.36:38416","US"
"195.177.217.131:11400","PL"
"132.148.156.206:2709","US"
"195.177.217.131:38267","PL"
"195.177.217.131:30241","PL"
"109.72.226.74:31337","RU"
"103.86.24.241:9050","SE"
"89.201.5.90:5678","LV"
"158.69.181.129:18977","CA"
"185.179.196.19:1089","RU"
"128.199.111.243:34599","SG"
"47.94.85.171:8060","HK"
"165.227.119.98:49017","US"
"27.116.51.92:6667","IN"
"166.62.123.35:8976","US"
"152.70.251.158:7891","GB"
"192.3.176.138:1080","NL"
"47.149.74.197:1080","US"
"103.216.82.22:6667","IN"
"103.241.227.106:6667","IN"
"103.85.232.20:1080","BD"
"116.233.110.252:1080","HK"
"101.36.107.66:1080","HK"
"180.109.4.144:10801","US"
"146.185.138.153:38813","NL"
"69.163.160.232:59311","US"
"59.152.91.57:9954","BD"
"69.163.166.43:59311","US"
"146.185.138.153:51983","NL"
"69.163.160.228:59311","US"
"37.52.48.238:8888","UA"
"188.130.138.12:1080","RU"
"185.179.196.19:1082","RU"
"43.224.10.46:6667","IN"
"185.179.196.19:1084","RU"
"45.79.73.17:20150","US"
"178.62.79.49:32519","GB"
"181.102.44.191:1080","AR"
"69.163.165.137:59311","US"
"178.62.79.49:28113","GB"
"113.77.101.183:1080","HK"
"186.126.7.125:1080","AR"
"128.199.111.243:21515","SG"
"93.95.227.154:9050","DE"
"212.129.41.96:54321","FR"
"104.255.170.66:55112","US"
"165.22.228.194:48616","CA"
"192.169.249.15:61404","US"
"104.238.96.101:32397","US"
"45.86.163.216:9055","US"
"64.227.53.22:9050","DE"
"46.101.159.153:59394","DE"
"132.148.14.22:47784","US"
"103.155.209.42:1080","IN"
"178.211.62.205:31098","TR"
"195.177.217.131:22311","PL"
"45.86.163.211:9060","US"
"104.255.170.90:50503","US"
"103.81.84.117:8088","VN"
"69.163.166.55:59311","US"
"104.255.170.64:55112","US"
"142.4.207.10:14632","CA"
"165.227.119.98:55558","US"
"186.126.75.193:1080","AR"
"132.148.155.205:2667","US"
"167.71.41.243:28557","DE"
"181.3.132.92:1080","AR"
"12.219.42.51:62311","US"
"103.241.227.108:6667","IN"
"101.34.180.24:1080","HK"
"195.177.217.131:39609","PL"
"166.62.85.184:45328","US"
"97.74.6.64:31732","US"
"59.152.10.5:9954","BD"
"128.14.163.74:23399","NP"
"67.207.75.252:59394","DE"
"185.179.196.19:1085","RU"
"114.255.176.249:10001","NO"
"47.116.142.11:7890","TW"
"5.105.0.135:16379","US"
"1.117.226.155:7891","HK"
"158.69.64.142:9200","SE"
"111.199.70.226:1080","US"
"181.3.115.125:1080","AR"
"132.148.157.55:59114","US"
"167.71.41.243:32249","DE"
"104.255.170.68:55112","US"
"148.72.65.242:56904","US"
"132.148.155.205:27881","US"
"43.224.8.12:6667","IN"
"103.241.227.114:6667","IN"
"103.90.231.93:32984","VN"
"167.86.67.35:39908","DE"
"103.90.231.93:23198","VN"
"198.199.109.36:59680","US"
"104.238.97.215:25085","US"
"198.199.109.36:18450","US"
"162.144.66.22:50858","US"
"18.181.146.180:1088","JP"
"5.42.158.122:1080","FR"
"181.6.75.37:1080","AR"
"198.199.109.36:33107","US"
"195.177.217.131:52491","PL"
"206.130.133.8:33071","US"
"186.126.99.28:1080","AR"
"123.118.121.184:1080","HK"
"132.148.129.108:40395","US"
"95.169.186.58:9059","DE"
"171.244.22.20:11405","VN"
"3.110.44.32:1080","IN"
"188.166.104.152:18518","NL"
"192.169.217.115:10210","US"
"171.244.22.20:55453","VN"
"91.198.137.31:3569","CH"
"51.81.83.181:26491","US"
"91.198.137.31:3580","DE"
"181.3.118.112:1080","AR"
"192.169.249.15:58899","US"
"104.238.96.101:27739","US"
"185.179.196.19:1090","RU"
"47.106.211.213:7891","TW"
"192.241.171.199:47199","US"
"128.14.163.74:24910","IN"
"162.144.66.22:42428","US"
"59.152.1.2:9954","BD"
"165.22.223.92:41835","IN"
"138.197.156.41:53570","CA"
"45.192.184.176:9999","ZA"
"34.239.11.167:9050","DE"
"50.62.35.16:63453","US"
"198.37.103.71:53138","US"
"180.164.120.25:1080","HK"
"5.160.243.124:1080","IR"
"203.56.192.103:9999","CN"
"115.239.112.15:23456","CN"
"120.41.135.160:1080","CN"
"106.45.105.48:28643","CN"
"218.92.231.163:1080","CN"
"116.237.117.34:1080","CN"
"180.109.4.144:1080","CN"
"47.119.167.255:7891","CN"
"125.87.83.26:57114","CN"
"118.125.14.56:1080","CN"
"118.122.194.18:4000","CN"
"47.100.162.94:8001","CN"
"114.231.42.240:1080","CN"
"139.198.121.76:8811","CN"
"123.112.250.13:1080","CN"
"47.94.107.226:1080","CN"
"113.69.136.232:1080","CN"
"112.78.141.76:1080","ID"
"120.237.253.142:1080","CN"
"159.75.44.216:8080","CN"
"122.226.223.221:54626","CN"
"218.29.70.42:1080","CN"
"121.42.9.57:46917","CN"
"203.56.169.249:9999","CN"
"36.89.86.49:56845","ID"
"118.122.194.18:9300","CN"
"218.64.122.99:7302","CN"
"47.119.115.174:1080","CN"
"193.112.118.89:38888","CN"
"78.38.108.199:1080","IR"
"58.32.17.79:1080","CN"
"89.42.198.124:5678","IR"
"121.4.103.166:7891","CN"
"1.14.104.146:1080","CN"
"221.222.51.177:1080","CN"
"120.196.228.73:1081","CN"
"120.26.66.53:1080","CN"
"180.76.146.169:1080","CN"
"192.144.236.13:7890","CN"
